tid,loc_name,address_1,latitude,longitude,city,state,RunID,RunDate,InsertUpdateTime,postal_code,country,neighborhood,address_2
6777,"Jawaharban, Lokhandwala Complex Road - Andheri (West)","Shop No. 5, B Wing, Jawaharban Co-operative Housing Society Limited, CTS No 825/1 (PT), Lokhandwala Road, Sahyog Nagar, Four Bunglows, Andheri (West)",19.13081,72.82607,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400053,India,Andheri (West),Kokilaben Ambani Hospital
6778,"Gyan Ashram, Mahakali Caves - Andheri (East)","Shop No. 20, New Malinee Co-operative Housing Society Limited, Mahakali Caves Road, Mahakali, Andheri (East)",19.124674,72.86476,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400093,India,Andheri (East),Canossa School
6779,Takshila - Andheri (East),"Shop No. 4, Takshila Building No. 4, Off Takshila Co-Operative Housing Society Limited., Mahakali Caves Road, Andheri (East)",19.131662,72.86906,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400093,India,Andheri (East),Takshila Society
6780,Shastri Nagar Lane No. 1 - Andheri (West),"Shop No. 2, Building No. X-13, Andheri Garden View CHSL, Garden View, Shastri Nagar, Andheri (West)",19.139675,72.827324,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400053,India,Andheri (West),Lokhandwala Circle
6781,The Country Club - Veera Desai Road - Andheri (West),"Shop No. A 10, Building No. 3, Orchid, Prathamesh Complex, Veera Desai Road, Andheri (West)",19.138521,72.836945,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400053,India,Andheri (West),Country Club
6782,Unnat Nagar - Goregaon (West),"Gala No. 11 , Ground Floor, A-Wing , Kiran Industrial Premises Co. Op. Society Ltd, Mahatma Gandhi Road (M G Road), Goregaon (West)",19.164042,72.84361,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),Mogaveera Bank
6783,Azad Maidan - Goregaon (West),"Shop No. 2 & 3 , Ground Floor , Pearl Classic, Unnat Nagar Part 3, Near Sane Guruji Nagar, Goregaon (West)",19.16504,72.840775,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),Rationing Office
6784,Chikalwadi - Tardeo,"Shop No A/12, Mahavir Apartment, Ganga Jamuna Co-Operative Housing Society Limited, Javji Dadaji Marg Old, Chikalwadi, Tardeo",18.966465,72.81385,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400007,India,Tardeo,Bhatia Hospital
6785,Jawahar Nagar - Goregaon (West),"Shop No. 1 , Ground Floor , Plot No. 110 , Gajanan Building No. 5 , Jawahar Nagar Co. Op. Hsg. Society , Goregaon Station Road No. 1 , Goregaon (West)",19.160877,72.84866,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),Jain Mandir
6786,"Parleshwar Society, Shahaji Raje Marg - Vile Parle (East)","Shop No. 2, Building C, Parleshwar Society, Vora Industrial Estate, Shahaji Raje Marg., Paranjape Nagar, Vile Parle (East)",19.106014,72.847084,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400057,India,Vile Parle (East),Vateshwar Hanuman Mandir
6787,Shastri Nagar - Goregaon (West),"Shop No 3 & 4, 14 - Millennium Co-operative Housing Society Limited, Shastri Nagar, Goregaon (W), Goregaon (West)",19.160845,72.83542,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),Shastri Nagar Ground
6788,"Deep Towers, D N Nagar - Andheri (West)","Shop No. 6, 7 & 8, B-Wing, Shubh Residency, Deep Co-operative Housing Society Limited, D N Nagar, Off J P Road, Andheri (West)",19.126848,72.83366,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400053,India,Andheri (West),Idgah Masjid
6789,"Mangal Jyothi, Juhu Lane - Andheri (West)","Shop 2 / 7, Mangal Jyoti CHSL, 485 Juhu Lane, Off. Gulmohar Road, Andheri (West)",19.112846,72.83765,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400058,India,Andheri (West),Irla Masjid
6790,Prabhat Colony - Santacruz (East),"Shop No. 1, Nandadeep Building, Plot No. 128, Jet Age CHSL, Prabhat Colony, Gandhi Chowk, Santacruz (East)",19.083801,72.84375,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400055,India,Santacruz (East),Agrasen Chowk
6791,"Jayanti Nivas, Juhu Church Road - Juhu","Jayanti Niwas, G P Chaudhary Lane, Jukarwadi, Juhu Tara Road, Juhu",19.111925,72.82646,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400049,India,Juhu,ISKCON Temple
6792,"Seeta Mahal, Bomanji Petit Marg - Cumballa Hill","Seeta Mahal, Bomanji Petit Marg, Cumballa Hill",18.967178,72.80551,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400026,India,Cumballa Hill,BD Petit Parsee Hospital
6793,"Sagar Kunj, Nepean Sea Road - Malabar Hill","Shop No. 2, Sagar Kunj Co-operative Housing Society Limited, 78 Nepean Sea Road, Rungta Lane, Malabar Hill",18.953842,72.79762,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400006,India,Malabar Hill,Priyadarshini Park
6794,"Mogra Vikas Paradise, Jijabai Road - Andheri (East)","Shop No. 6, Mogra Vikas Nagar Co-operative Housing Society Limited, Rajmata Jijabai Road, Andheri (East)",19.129139,72.86053,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400069,India,Andheri (East),Vikas Nagar
6795,"Glenndale Apartment, N P Thakkar Road - Vile Parle (East)","Shop No. 3, Glenndale Apartment, N P Thakkar Road, Vile Parle (East)",19.094715,72.845085,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400057,India,Vile Parle (East),Rajpuria Hall
6796,"Heeramani, Bangur Nagar - Goregaon (West)","Shop No. 24, M-1 Building Heeramani Co-operative Housing Society Limited, Off Link Road, Bangur Nagar, Goregaon (West)",19.165892,72.83337,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),Bangur Nagar Shopping Centre
6797,"Railway Hotel, Cama Baug - Charni Road (East)","Shop No. 4, Railway Hotel, Raja Ram Mohan Roy Marg, Cama Baug, Girgaon, Charni Road (East)",18.961472,72.82002,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400004,India,Charni Road (East),Kabootar Khana
6798,"Zee Chhaya, Prathna Samaj - Vile Parle (East)","Shop No. 2, Zee Chhaya Co-operative Housing Society Limited, Prathana Samaj Road, Opp: Madhavbaug Clinic, Near Shiv Sangam Dairy, Vile Parle (East)",19.100782,72.84829,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400057,India,Vile Parle (East),Atharv Palace
6799,"Kaustubh Usha Building, Evershine Nagar - Malad (West)","Shop No. 14, The Kaustubha Usha Colony Co-operative Housing Society Limited, Ram Chandra Lane Extension, Evershine Nagar, Malad (West)",19.190687,72.83282,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400064,India,Malad (West),Movie Time Cinema
6800,"Ramdeva CHSL, Gaikwad Nagar, Malwani - Malad (West)","Shop No. 3, The Malwani Ramdeva Co-operative Housing Society Limited, Plot No 31, Sector No 8, MAHADA Project, Behind Malwani Depot, Malad (West)",19.17749,72.816055,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400095,India,Malad (West),Malvani Bus Depot
6801,"Ashoka Palace CHSL, Makrani Pada - Malad (East)","Shop No. 29, Ashoka Palace Co-operative Housing Society Limited, Makrani Pada, Haji Bapu Patel Road, Malad (East)",19.181469,72.85319,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400097,India,Malad (East),Ashoka Hospital
6802,"Aquarius Tower, Jankalyan Nagar - Malad (West)","Shop No. 05, Aquarius Taurus Co-operative Housing Society Limited, Marve Road, Malad (West)",19.20011,72.82065,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400095,India,Malad (West),Jankalyan Nagar
6803,"New Sarita, Poddar Park - Malad (East)","Shop No. 05, New Sarita Co-operative Housing Society Limited, Plot No. F, Poddar Park Circle, Poddar Road, Malad (East)",19.185062,72.850426,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400097,India,Malad (East),Poddar Park
6804,"Sai Apartments, Pandurangwadi - Goregaon (East)","Shop No. 1, Sai Apartments - (Om Shree Sai Apartment CHSL), Plot No. 6, 5th Road, Pandurangwadi, Goregaon (East)",19.172558,72.84959,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400063,India,Goregaon (East),Mashur Ashram
6805,"Gayatri Bhuvan, Liberty Garden - Malad (West)","Shop No. 4, Gayatri Bhuvan, Road No. 2, Liberty Garden, Malad (West)",19.185562,72.84225,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400064,India,Malad (West),Bhavsar Maternity & Nursing Home
6806,"Elly Kadoorie School, Tadwadi - Mazgaon","Shop No. 24/A, 24/B & 24/C, Sir Elly Kadoorie School Compound, Shivdas Champsi Marg, Near Chaitya Temple, Tadwadi, Mazgaon",18.96621,72.83918,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400010,India,Mazgaon,Sir Elly Kadoorie School
6807,"Ashwamegh Elegance 2, Sheth Mangaldas Road - Ambawadi","Shop No. 3, Ashwamegh Elegance, Sheth Mangaldas Road, Ambawadi Circle, Ellisbridge, Ambawadi",23.0205,72.554375,Ahmedabad,Gujarat,46300,03-05-2022 09:01,03-05-2022 09:01,380006,India,Ambawadi,Ambawadi Circle
6808,"Veena Apartments, Sejal Park - Goregaon (West)","Shop No. 16, Veena Apartment, Veena CHSL, Sejal Park, New Link Road, Goregaon (West)",19.15561,72.83606,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),McDonald's Restaurant
6809,"Anmol Heights, Konkani Pada - Malad (East)","Shop No. 11, A-Wing, Anmol Heights, Shree Prathamesh Sahakari Grihnirman Sanstha Limited, Konkani Pada, Mahatre Compound, Kurar Village, Malad (East)",19.1837,72.86372,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400097,India,Malad (East),ICICI Bank ATM
6810,"Evershine Grandeur, Ram Nagar - Malad (West)","Shop No. 1, Evershine Grandeur Co-operative Housing Society Limited, Ram Nagar, Behind Inorbit Mall, Off Link Road, Malad (West)",19.176224,72.833595,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400064,India,Malad (West),Rustomjee Elanza
6811,"Bagri Niwas, Khatar Gali - Charni Road (East)","Shop No. 1, Bagri Niwas, 53/55 Nath Madhav Path, Khatar Gali, Mangal Wadi, Girgaon, Charni Road (East)",18.953733,72.82544,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400002,India,Charni Road (East),Mahavirswami Jain Ghar Derasar
6812,"Sai Ram Residency, Pimpripada Road - Malad (East)","Shop No. 2, Sai Ram Residency CHSL, Pimpripada Road, Off. Rani Sati Marg, Malad (East)",19.177376,72.87016,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400097,India,Malad (East),ICICI Bank ATM
6813,"Cherry Blossom CHSL, D'Monte Lane - Malad (West)","Shop No. 3, Cherry Blossom CHSL, D'Monte Lane, Orlem, Kanchpada, Malad (West)",19.19258,72.837364,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400064,India,Malad (West),Kanchpada
6814,"Central Plaza, Jagannath Shankar Seth Road - Charni Road (East)","Shop No. 3, New Shingne Building, N S B CHSL, 100 - 100A & 100B Jagannath Shankar Seth Road, Central Plaza, Girgaon, Charni Road (East)",18.955427,72.81801,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400004,India,Charni Road (East),Free India Bakery
6815,"Andheri Shiv-Shakti CHSL, Amboli Ceasar Road - Andheri (West)","Shop No. SH 04, Andheri Shiv-Shakti CHSL, Nr. Sai Baba Temple, Ceasar Road, Amboli, Andheri (West)",19.127977,72.84089,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400058,India,Andheri (West),Bombay Cambridge School
6816,"Pagrav CHSL, S V Road - Goregaon (West)","Shop No. 7, Goregaon Pagrav CHSL, 57, S V Road, Goregaon (West)",19.167927,72.84589,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400104,India,Goregaon (West),LS Patkar College
6817,"XL Plaza, IIT Market - Powai","Shop No. 5 & 6, XL Plaza CHSL, Opp. IIT Main Gate, IIT Market, Hare Krishna Road, Powai",19.125126,72.918144,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400076,India,Powai,SBI - Powai Market Branch
6818,"Shantivan - I, Raheja Township - Malad (East)","Shop No. 1, Shantivan - 1 CHSL, Off. Road No. 3, Raheja Township, Malad (East)",19.1796,72.856346,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400097,India,Malad (East),RBI Community Hall
6819,"Hilton Tower, Sher-E-Punjab Society - Andheri (East)","Shop No. 6, Hilton Tower, Sher-E-Punjab Society, Asmita Mogra CHSL, Datta Jagdamba Mandir Marg, Sher-E-Punjab, Andheri (East)",19.125103,72.861,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400093,India,Andheri (East),Sher-E-Punjab ICICI Bank
6820,"Hari Om Plaza, M G Road - Borivali (East)","Unit No. 31, B Wing, Hari Om Plaza CHSL, M G Road, Nr. Omkareshwar Temple, Sukarwadi, Borivali (East)",19.231495,72.86244,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400066,India,Borivali (East),State Bank Of India
6821,"Kanal Industrial CSL, Daulat Nagar - Borivali (East)","Gala No. 6, Kanal Industrial Premise CSL, Daulat Nagar Road No. 6, Daulat Nagar, Borivali (East)",19.238136,72.86049,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400066,India,Borivali (East),Daulat Nagar
6822,"Sahyadri Building, Aarey Road - Goregaon (East)","Shop No. 23, Sahyadri Building, The Goregaon Sahyadri CHSL, Jay Prakash Nagar, Aarey Road, Peru Baug, Goregaon (East)",19.166061,72.85248,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400063,India,Goregaon (East),TJSB Sahakari Bank Ltd
6823,"Wellingdon View, Sane Guruji Marg - Tardeo","Shop No. 13, Wellingdon View, Gokuldham CHSL, Ratan Tata Colony, Sane Guruji Marg, Tulsiwadi, Tardeo",18.971804,72.81774,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400034,India,Tardeo,Tardeo Police Station
6824,"Siddhesh Darshan, Khetwadi - Girgaon","Shop No. 1, Siddhesh Darshan (Moti Mansion), 10th Lane & A B Kolhatkar Marg Junction, Khetwadi, Girgaon",18.958815,72.82166,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400004,India,Girgaon,Pavapuri Mahaveerswami Jain Temple 
6825,"Vic-Mon CHSL, Marol Church Road - Andheri (East)","Shop No. 7, Vic-Mon CHSL, Marol Church Road, Bori Colony, Marol, Andheri (East)",19.111898,72.8752,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400059,India,Andheri (East),Garden Nursery School
6826,"Malwani Vinayaka CHSL, Malwani - Malad (West)","Shop No. 8, B-Wing, Vinayak Regency (Malwani Vinayaka CHSL), Plot 64, Gaikwad Nagar, RSC Road No. 6, Malwani, Malad (West)",19.180515,72.81289,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400095,India,Malad (West),Kala Vidya Mandir
6827,"Darshana Apartments, Suresh Colony - Vile Parle (West)","Shop No. 2, Darshana Apartments CHSL, Sarojini Road Extension, Suresh Colony, Vile Parle (West)",19.095446,72.84148,Mumbai,Maharashtra,46300,03-05-2022 09:01,03-05-2022 09:01,400056,India,Vile Parle (West),ESI Dispensary
